ds,yhat,yhat_lower,yhat_upper
2017-06-07 11:38:00,48.73787640688402,33.69700053852644,62.339281973146335
2017-06-07 11:40:00,48.73673095691079,34.97145618850205,62.44537499013342
2017-06-07 11:42:00,48.735585544639385,34.41468030136265,62.03128373743722
2017-06-07 11:44:00,48.734440170085705,34.524513445247585,62.269890581509365
2017-06-21 10:48:00,41.01409024254733,27.314560381234685,53.8836758734963
2017-06-21 10:50:00,41.01376189042259,27.549586516751848,54.47578961592531
2017-06-21 10:52:00,41.01343361150387,28.277066271319633,54.620100040971515
2017-06-21 10:54:00,41.0131054057736,27.63437049749435,54.6058776099144
2017-06-21 10:56:00,41.01277727322595,27.974965092946164,55.23370337598009
2017-06-21 10:58:00,41.01244921384662,26.99280436880585,54.53908867253947
2017-06-21 11:00:00,41.01212122762523,27.142906842079725,54.31100618275516
2017-06-21 11:02:00,41.01179331454841,26.619689431553315,54.86588750929608
2017-08-02 10:20:00,28.60957761823145,14.96401819856779,41.823298429585776
2017-08-02 10:22:00,28.609140319729928,16.09005302797495,42.572010453727806
2017-08-02 10:24:00,28.60870306227771,14.696320573759863,42.884192239293334
2017-08-02 10:26:00,28.60826584587764,15.091766436550774,42.1070029898191
2017-08-02 10:28:00,28.607828670531983,14.84312930137267,42.654643094711645
2017-08-02 10:30:00,28.60739153624432,14.853102881071647,42.9780436289736
2017-08-02 10:32:00,28.606954443018086,14.78884182262253,42.097501847242185
2017-08-02 10:35:00,28.60629888017851,15.17421307188201,41.888094621994505
2017-08-16 11:30:00,26.627978910725325,12.93652105941665,40.44883841513214
2017-08-16 11:32:00,26.628023446244132,12.374915449517745,40.18199006429424
2017-08-16 11:34:00,26.628068020434238,12.456573416577315,39.334109899202595
2017-08-16 11:36:00,26.628112633296038,12.647532255797396,39.8241321506674
2017-08-16 11:38:00,26.628157284822223,12.656454289038619,39.93547419367301
2017-08-16 11:40:00,26.628201975006423,11.445603578105917,39.16854203834361
2017-08-16 11:42:00,26.62824670384355,12.583845314122472,39.89114503257598
2017-08-16 11:44:00,26.628291471328136,12.25044177655389,39.98546209232907
2017-08-30 11:30:00,27.846494377899923,14.067466749225918,41.87334206219982
2017-08-30 11:32:00,27.846574379867853,13.45658697698628,41.60399354368053
2017-08-30 11:34:00,27.84665435679129,14.977837875344182,41.840338021760154
2017-08-30 11:36:00,27.846734308668754,14.053747804014334,41.61805070697391
2017-08-30 11:38:00,27.846814235498996,13.891423100429437,41.566536552398766
2017-08-30 11:40:00,27.846894137279776,14.249498943710984,41.20271896012059
2017-08-30 11:42:00,27.8469740140105,14.396077724064165,42.03997306057356
2017-08-30 11:44:00,27.847053865690643,14.829984988137038,41.097786092270916
2017-09-23 10:20:00,29.78457955702182,15.755670930704309,42.66541910528633
2017-09-28 10:22:00,31.531921242266286,17.689097153929314,44.74821097233532
2017-09-28 10:24:00,31.532429403944228,17.916420840402765,44.43926967553028
2017-09-28 10:26:00,31.532937563510917,16.86652163273123,44.32337348853035
2017-09-28 10:28:00,31.533445725728058,18.691317863710893,44.761038044613805
2017-09-28 10:30:00,31.53395388581307,17.45434815317857,45.36569614187592
2017-09-28 10:32:00,31.534462043747755,17.196186904989073,45.24133870394283
2017-09-28 10:34:00,31.534970199525624,18.004354051792802,45.71239185690813
2017-10-11 09:56:00,35.172810366104606,22.00191227852968,49.09537766247409
2017-10-11 09:58:00,35.17308390797738,20.551542649146167,48.956118851135564
2017-10-11 10:00:00,35.17335745443295,21.06842324758151,48.76869825695713
2017-10-11 10:02:00,35.17363100549153,22.131730553543424,48.71585445060363
2017-10-11 10:04:00,35.17390456117481,21.95487973605219,48.87069599099187
2017-10-11 10:06:00,35.17417812149597,21.64060682739013,47.73074480270778
2017-10-11 10:08:00,35.1744516864794,21.19952951701334,49.21514778676159
2017-10-11 10:10:00,35.17472525613957,21.214393466146852,48.519710624129694
2017-10-25 10:00:00,41.8701331938326,27.761128817020843,54.73573659705877
2017-10-25 10:02:00,41.87149803308224,27.905322013980214,56.19510495661215
2017-10-25 10:04:00,41.87286303970354,28.46423551606099,55.222741204611374
2017-10-25 10:06:00,41.874228213692334,28.687653717427086,56.270111034152244
2017-10-25 10:08:00,41.87559355504095,27.108402336524822,55.451042405374565
2017-10-25 10:10:00,41.87695906373173,28.595622986975222,54.913282312388226
2017-10-25 10:12:00,41.878324739770875,28.1823476411914,55.80475995552542
2017-10-29 09:58:00,46.44322716623669,32.46871364227889,61.333434768066894
2017-11-08 10:30:00,59.99170695663449,46.05975882456527,72.35098946498303
2017-11-08 10:32:00,59.9933059331842,47.01185714998693,73.22243135134792
2017-11-08 10:36:00,59.99650334834122,46.77573763135323,73.6584640912527
2017-11-08 10:38:00,59.99810178687736,47.29359544610791,74.28408557316975
2017-11-08 10:40:00,59.9997000460018,46.447967199183964,73.94025755583421
2017-11-08 10:42:00,60.00129812568075,45.59746119718911,72.66836481545049
2017-11-08 10:44:00,60.002896025864246,46.35301156064001,72.57324535934023
2017-11-22 10:10:00,64.5323541526637,51.027966866025146,78.68120032928107
2017-11-22 10:12:00,64.53185925545093,51.05415398665775,79.06136745479425
2017-11-22 10:14:00,64.53136429915155,50.91905503401427,78.4939944734355
2017-11-22 10:16:00,64.53086928383087,50.73583173462998,78.44847763738588
2017-11-22 10:18:00,64.53037420954485,51.2715821758041,78.43799152282027
2017-11-22 10:20:00,64.52987907635546,50.64167882743189,77.45915717613279
2017-11-22 10:22:00,64.52938388432331,51.22023170791872,78.04373469778832
2017-11-22 10:24:00,64.52888863351008,50.20155598299902,78.51074361571065
2017-12-06 10:50:00,66.75560993668842,53.43639789694588,80.43387520135866
2017-12-06 10:52:00,66.75731673755787,52.91579054948948,79.70458596569725
2017-12-06 10:54:00,66.75902389741483,51.46774968148867,79.9283163757518
2017-12-06 10:56:00,66.7607314162395,52.802636923572194,81.32585230698224
2017-12-06 10:58:00,66.76243929401059,53.861349915468146,79.80124105395028
2017-12-06 11:00:00,66.76414753070884,53.4822226938973,80.31474081934167
2017-12-06 11:02:00,66.76585612633087,53.74403000643564,80.9709142033652
2017-12-06 11:04:00,66.76756508085384,52.87571003663993,80.92200863105157
2018-01-17 10:20:00,69.55361009776604,57.2351345320428,82.6865316541194
2018-01-17 10:22:00,69.55178122434364,56.09461887202522,82.84624670116416
2018-01-17 10:24:00,69.54995266294647,56.12492657400028,81.96596631380875
2018-01-17 10:26:00,69.54812441359076,55.57591747645378,83.35178960962553
2018-01-17 10:28:00,69.54629647629136,56.78457644521893,83.61669046068717
2018-01-17 10:30:00,69.54446885106852,55.48099058765199,83.53923979455367
2018-01-17 10:32:00,69.54264153795131,56.12392361415001,82.56213768771826
2018-01-17 10:34:00,69.54081453695206,56.53826988676664,84.45111664499794
2018-01-31 10:40:00,65.71486753202257,52.35455176883864,80.07637065123338
2018-01-31 10:42:00,65.71546162351464,51.64156473946086,79.46121240874353
2018-01-31 10:44:00,65.71605577758396,52.3606256126475,79.8833108901307
2018-01-31 10:46:00,65.71664999419659,52.04299615775615,79.70377370878151
2018-01-31 10:48:00,65.71724427331014,51.07635456556565,80.11184790331795
2018-01-31 10:50:00,65.71783861488532,51.99958032792573,79.12497284732495
2018-01-31 10:52:00,65.71843301888148,52.72918914847332,78.65911745308206
2018-01-31 10:54:00,65.71902748526134,52.48555348250944,79.63014710551107
2018-02-14 10:00:00,70.50736193284668,57.34397880806369,84.01822746717626
2018-02-14 10:05:00,70.50780399454781,56.88568367646402,84.31741150457418
2018-02-14 10:10:00,70.50824573007819,57.17032471580364,85.56627552599863
2018-02-14 10:30:00,70.51000941384805,56.90289133837784,84.30523751937531
2018-02-14 10:35:00,70.51044952104068,57.75708761055553,83.62825762175413
2018-02-14 11:00:00,70.51264518288967,57.48336481693006,83.94074517887388
2018-02-14 11:17:00,70.51413360031376,58.082482110056496,84.30488592683953
2018-02-28 10:08:00,70.91731689080581,57.29259765989598,85.02184637449862
2018-02-28 10:20:00,70.91680293780556,56.26002260234772,84.2544620209606
2018-02-28 10:38:00,70.9160285983541,57.83995554845169,84.63687003741232
2018-02-28 10:40:00,70.91594230766653,57.84695406100825,84.76580794034851
2018-02-28 10:45:00,70.91572635932762,56.39876408944825,86.0186423317285
2018-02-28 10:50:00,70.9155100942203,56.94404542668486,84.4641968551881
2018-02-28 10:55:00,70.91529351211584,57.119650213173536,84.55341416136297
2018-02-28 10:56:00,70.91525015763611,56.74207642043355,84.43462270448131
2018-03-14 10:42:00,65.53237841614947,52.700518619624106,78.52460092014155
2018-03-14 10:44:00,65.53134799495977,52.25354152274174,78.85663298787225
2018-03-14 10:46:00,65.53031750754383,52.51351356129375,79.65536622090968
2018-03-14 10:48:00,65.52928695392886,52.175384566535584,79.32365528419794
2018-03-14 10:50:00,65.52825633413799,51.308914985218124,77.87530419913199
2018-03-14 10:52:00,65.52722564819732,52.80340955855898,79.60170552728684
2018-03-14 10:54:00,65.5261948961275,51.47283591950595,78.8735485568129
2018-04-11 10:00:00,66.11499324789014,52.435735138266764,79.78329867296635
2018-04-11 11:00:00,66.15762158697652,53.249322367988945,79.66112419714426
2018-04-11 11:04:00,66.16046264548861,52.59847942396045,80.17818277543529
2018-04-11 11:06:00,66.16188313508664,52.776657300070724,80.38516124035972
2018-04-11 11:08:00,66.16330359818419,52.891302102913095,80.31799306129038
2018-04-11 11:10:00,66.1647240347449,52.66392947446003,80.34424685596646
2018-04-11 11:12:00,66.16614444472364,53.75140406567778,79.90239511578429
2018-04-25 10:52:00,73.6117161371361,59.80115744302068,85.97574793422369
2018-04-25 10:54:00,73.61149182031617,60.33424689611611,87.3722050232866
2018-04-25 10:56:00,73.61126731508011,59.80025263486594,86.98793612598841
2018-04-25 10:58:00,73.61104262144536,60.98943576324171,87.16258710879208
2018-04-25 11:02:00,73.61059266905038,59.426070957076355,86.40425388830246
2018-04-25 11:04:00,73.61036741032565,61.46979834755832,86.7802423040509
2018-04-25 11:06:00,73.6101419632729,60.21132349868018,87.13339349891407
2018-05-09 09:46:00,65.93393158165496,51.506588780855665,79.95985194842727
2018-05-09 09:50:00,65.93213450523173,52.70795313672282,79.69020723933599
2018-05-09 09:52:00,65.9312360185362,51.78589361622843,79.53455587598964
2018-05-09 09:54:00,65.93033756619876,52.76743731625606,79.25559067611276
2018-05-09 09:56:00,65.92943914822311,52.094681466566776,79.26640061590427
